,Numero Red,MSE-Min,MSE-Max,MSE-Prom
0,1,0.05455053121468493,0.05455053121468493,0.05455053121468493
1,2,0.06182955333879084,0.06182955333879084,0.06182955333879084
2,3,0.08040827252184495,0.08040827252184495,0.08040827252184495
3,4,0.08432109192376168,0.08432109192376168,0.08432109192376168
4,5,0.05902382642388131,0.05902382642388131,0.05902382642388131
5,6,0.06550211634707645,0.06550211634707645,0.06550211634707645
6,7,0.051657800671108305,0.051657800671108305,0.051657800671108305
7,8,0.06739914891868537,0.06739914891868537,0.06739914891868537
8,9,0.10411105132418716,0.10411105132418716,0.10411105132418716
9,10,0.0711707348578137,0.0711707348578137,0.0711707348578137
10,11,0.1528989832818613,0.1528989832818613,0.1528989832818613
11,12,0.07466632475340142,0.07466632475340142,0.07466632475340142
12,13,0.07040431408528348,0.07040431408528348,0.07040431408528348
13,14,0.06403116471410009,0.06403116471410009,0.06403116471410009
14,15,0.1472209700942959,0.1472209700942959,0.1472209700942959
15,16,0.11825706386407789,0.11825706386407789,0.11825706386407789
16,17,0.07323323301914282,0.07323323301914282,0.07323323301914282
17,18,0.08614753880063944,0.08614753880063944,0.08614753880063944
18,19,0.05573616404403749,0.05573616404403749,0.05573616404403749
19,20,0.10939627694934224,0.10939627694934224,0.10939627694934224
