,Numero Red,MSE-Min,MSE-Max,MSE-Prom
0,1,0.39664313243906585,0.5761400476942689,0.46796629165413656
1,2,0.39910831733697283,0.5550142239583618,0.4694760446326529
2,3,0.382865447011377,0.539733493961928,0.4444229591933968
3,4,0.38353025814597275,0.49195371913031544,0.4366000031631047
4,5,0.4149753368941052,0.618923857393848,0.5109399984675363
5,6,0.4048827469105174,0.5401078681346705,0.46673511772231985
6,7,0.4192012546341495,0.6244876456312625,0.5314552327854323
7,8,0.38966648307737844,0.5532106568194848,0.4613855705649217
8,9,0.37371565888426156,0.4814047081600216,0.42134799444828813
9,10,0.4201865458223035,0.560342219646337,0.49124192670847205
10,11,0.3492355057399153,0.4178497153833655,0.3795113080850902
11,12,0.4194456970300172,0.563523781942295,0.501408023136968
12,13,0.41589838585959593,0.5552979498284684,0.48930174591466497
13,14,0.3997779822766748,0.5794680176585948,0.4837416513377446
14,15,0.3521941013317895,0.42097313373910783,0.3828472769109784
15,16,0.37189822945269335,0.46368063641138824,0.4180515325919576
16,17,0.395192213917725,0.5198669465931891,0.45608762404842595
17,18,0.38218773825882535,0.49160639815429186,0.42989360305826174
18,19,0.4147643322925855,0.5988075715705078,0.5050311834729048
19,20,0.3682608351432196,0.46942651045672235,0.4082201960689153
