,Numero Red,MSE-Min,MSE-Max,MSE-Prom
0,1,0.06094702114855466,0.3744488679029052,0.1891860144571136
1,2,0.06944437962712718,0.25112123576417494,0.13836401992405942
2,3,0.07441552015210286,0.39888831899913335,0.1997460513398078
3,4,0.1029639332781409,0.3240049369045113,0.20033809397039032
4,5,0.05458549263188152,0.2853897445552698,0.13873941160620606
5,6,0.05962987990865458,0.2778945153723796,0.14216578962963364
6,7,0.05555183505907187,0.3378658427705158,0.16883175574459447
7,8,0.08554892617902357,0.3212236941512639,0.1853966868030119
8,9,0.08490425004545529,0.37727428740147867,0.21048029745601451
9,10,0.06311355708480963,0.2948562365477279,0.1551220855458122
10,11,0.11362575564302987,0.3511996230969039,0.22211492382020168
11,12,0.07544272881004424,0.32911510205050526,0.18309820522464385
12,13,0.0786572496925945,0.29566410729333276,0.16847022485114674
13,14,0.05322057817568129,0.33152554091597375,0.15771021778533556
14,15,0.1384546124325663,0.4054916250725154,0.27181909454746295
15,16,0.13119847495576883,0.3727392225546176,0.25146782268655776
16,17,0.0926611111503805,0.3425514535566596,0.20580633344706242
17,18,0.08886596614589017,0.3193874257987345,0.18143392272669243
18,19,0.056495632862515285,0.2965810525320455,0.14599592395754807
19,20,0.11935862593629087,0.3781247232800097,0.23927300267531293
