NET,MSE_MIN,MSE_MAX,MSE_PROM
1,0.08416310329143427,0.2431788850914861,0.14957304455692153
2,0.12229181724775026,0.3273809191808985,0.21156852597492157
3,0.06137594927113797,0.15180926185783078,0.0962066791203837
4,0.10806643208418934,0.3133413023566839,0.19586375090814886
5,0.0689711787878746,0.17815547184754216,0.11177017128439828
6,0.09957096297248604,0.27070542932106184,0.1741020353136992
7,0.08746681368195962,0.25742638014569924,0.15830825107485505
8,0.15444595542005288,0.4324117051761859,0.274418105584422
9,0.12510010173025224,0.3493628930023283,0.21936054236374186
10,0.15368603367293382,0.3729899264325201,0.25763356186745756
11,0.06220140501465157,0.21417024272450752,0.11658640046814613
12,0.10924395755830499,0.30116475645025353,0.1895990054739215
13,0.03202395170225857,0.06510087608253216,0.04510736292489457
14,0.1203337094938558,0.32052129072172164,0.21179386682973128
15,0.1261792655169618,0.36328193396130154,0.22395054876723924
16,0.16057686724688608,0.44773997678963173,0.2855931181874749
17,0.10471085505669303,0.3023632433537271,0.1824534421933489
18,0.06984271869758202,0.17571771229922034,0.1113820810089723
19,0.11127043463553118,0.29235924890113285,0.1892080116009226
20,0.1385731238752446,0.3300736241995809,0.23116129858130235
