NET,MSE_MIN,MSE_MAX,MSE_PROM
1,0.1097030583153571,0.3351457777233392,0.19068785445784905
2,0.1064090285061008,0.3440527121993171,0.1928884398770523
3,0.22178575255893554,0.22178575255893554,0.22178575255893554
4,0.11346515610286115,0.330821283586509,0.19740617121801116
5,0.1691924705164875,0.2301194373838793,0.1996559539501834
6,0.07625255371180728,0.24122766639381527,0.1305802906862656
7,0.08088820833875555,0.08088820833875555,0.08088820833875555
8,0.17815417372276515,0.18634663624003783,0.1822504049814015
9,0.4186888681778792,0.4186888681778792,0.4186888681778792
10,0.08475723425163736,0.23998832662250397,0.14535206366278988
11,0.1092366761810448,0.1092366761810448,0.1092366761810448
12,0.3701893696926142,0.45214800818653056,0.41116868893957237
13,0.24503032736339725,0.24503032736339725,0.24503032736339725
14,0.466675184469886,0.466675184469886,0.466675184469886
15,0.3727147461678575,0.43218827778449487,0.4024515119761762
16,0.3488086922522468,0.3919961161802555,0.37040240421625115
17,0.2750988653346451,0.3495001460389636,0.31229950568680437
18,0.4045704527039263,0.4045704527039263,0.4045704527039263
19,0.10845826035711892,0.3891862269089361,0.20818582209836897
20,0.05431758347703286,0.13668916795809558,0.0824372012212907
